movieId,title,genres,year
27509,Carolina (2005),Comedy|Romance,2005.0
27618,"Sound of Thunder, A (2005)",Action|Adventure|Drama|Sci-Fi|Thriller,2005.0
27788,"Jacket, The (2005)",Drama|Mystery|Sci-Fi|Thriller,2005.0
27821,"Interpreter, The (2005)",Drama|Thriller,2005.0
27839,"Ring Two, The (2005)",Drama|Horror|Mystery|Thriller,2005.0
27881,"Girl from Monday, The (2005)",Action|Comedy|Sci-Fi,2005.0
27904,"Scanner Darkly, A (2006)",Animation|Drama|Mystery|Sci-Fi|Thriller,2006.0
30793,Charlie and the Chocolate Factory (2005),Adventure|Children|Comedy|Fantasy|IMAX,2005.0
30894,White Noise (2005),Drama|Horror|Mystery|Sci-Fi|Thriller,2005.0
30896,Underclassman (2005),Action|Comedy|Thriller,2005.0
30898,"Upside of Anger, The (2005)",Comedy|Drama|Romance,2005.0
31221,Elektra (2005),Action|Adventure|Crime|Drama,2005.0
31223,Racing Stripes (2005),Children|Comedy,2005.0
31225,Coach Carter (2005),Drama,2005.0
31420,Assault on Precinct 13 (2005),Action|Crime|Drama|Thriller,2005.0
31422,Are We There Yet? (2005),Children|Comedy,2005.0
31424,Alone in the Dark (2005),Action|Horror|Sci-Fi|Thriller,2005.0
31427,Hide and Seek (2005),Horror|Mystery|Thriller,2005.0
31429,Aliens of the Deep (2005),Documentary|IMAX,2005.0
31431,Boogeyman (2005),Drama|Horror|Mystery|Thriller,2005.0
31433,"Wedding Date, The (2005)",Comedy|Romance,2005.0
31685,Hitch (2005),Comedy|Romance,2005.0
31687,Pooh's Heffalump Movie (2005),Animation|Children,2005.0
31689,Inside Deep Throat (2005),Documentary,2005.0
31696,Constantine (2005),Action|Fantasy|Horror|Thriller,2005.0
31698,Son of the Mask (2005),Adventure|Children|Comedy|Fantasy,2005.0
31700,Because of Winn-Dixie (2005),Children|Comedy|Drama,2005.0
31785,Frozen Land (Paha maa) (2005),Drama,2005.0
31867,Man of the House (2005),Action|Comedy,2005.0
32002,Bigger Than the Sky (2005),Comedy|Drama|Romance,2005.0
32009,Tyler Perry's Diary of a Mad Black Woman (2005),Comedy|Drama|Romance,2005.0
32011,Cursed (2005),Horror|Thriller,2005.0
32017,"Pacifier, The (2005)",Action|Comedy,2005.0
32019,Be Cool (2005),Comedy|Crime|Musical,2005.0
32029,Hostage (2005),Action|Crime|Drama|Thriller,2005.0
32031,Robots (2005),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi|IMAX,2005.0
32172,Lackawanna Blues (2005),Drama,2005.0
32216,Into the Sun (2005),Action|Adventure|Thriller,2005.0
32289,Ice Princess (2005),Children|Comedy|Drama,2005.0
32296,Miss Congeniality 2: Armed and Fabulous (2005),Adventure|Comedy|Crime,2005.0
32298,Guess Who (2005),Comedy|Romance,2005.0
32584,"Ballad of Jack and Rose, The (2005)",Drama,2005.0
32587,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller,2005.0
32589,Beauty Shop (2005),Comedy,2005.0
32593,Dust to Glory (2005),Action|Adventure|Documentary,2005.0
32596,Sahara (2005),Action|Adventure|Comedy,2005.0
32598,Fever Pitch (2005),Comedy|Romance,2005.0
32605,Smile (2005),Drama,2005.0
33004,"Hitchhiker's Guide to the Galaxy, The (2005)",Adventure|Comedy|Sci-Fi,2005.0
33019,Barefoot (Barfuss) (2005),Comedy|Drama|Romance,2005.0
33085,"Amityville Horror, The (2005)",Horror|Thriller,2005.0
33132,State Property 2 (2005),Action|Crime|Drama,2005.0
33140,Down and Derby (2005),Children|Comedy,2005.0
33145,"Lot Like Love, A (2005)",Comedy|Drama|Romance,2005.0
33148,King's Ransom (2005),Comedy|Crime,2005.0
33150,"Game of Their Lives, The (2005)",Drama,2005.0
33154,Enron: The Smartest Guys in the Room (2005),Documentary,2005.0
33158,xXx: State of the Union (2005),Action|Crime|Thriller,2005.0
33162,Kingdom of Heaven (2005),Action|Drama|Romance|War,2005.0
33164,House of Wax (2005),Horror|Thriller,2005.0
33342,"Fearless Freaks, The (2005)",Documentary|Musical,2005.0
33421,Dear Wendy (2005),Drama,2005.0
33437,Unleashed (Danny the Dog) (2005),Action|Crime|Drama|Thriller,2005.0
33493,Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Sci-Fi,2005.0
33495,Kicking & Screaming (2005),Comedy,2005.0
33499,Monster-in-Law (2005),Comedy|Romance,2005.0
33615,Madagascar (2005),Adventure|Animation|Children|Comedy,2005.0
33639,Mad Hot Ballroom (2005),Children|Documentary,2005.0
33644,Dominion: Prequel to the Exorcist (2005),Horror|Thriller,2005.0
33646,"Longest Yard, The (2005)",Comedy|Drama,2005.0
33660,Cinderella Man (2005),Drama|Romance,2005.0
33669,"Sisterhood of the Traveling Pants, The (2005)",Adventure|Comedy|Drama,2005.0
33672,Lords of Dogtown (2005),Action|Comedy|Drama,2005.0
33677,Rock School (2005),Documentary,2005.0
33679,Mr. & Mrs. Smith (2005),Action|Adventure|Comedy|Romance,2005.0
33681,"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",Action|Adventure|Children|Fantasy,2005.0
33685,"Honeymooners, The (2005)",Comedy,2005.0
33688,Parineeta (2005),Drama|Musical|Romance,2005.0
33794,Batman Begins (2005),Action|Crime|IMAX,2005.0
33815,"Perfect Man, The (2005)",Comedy|Drama|Romance,2005.0
33821,"Deal, The (2005)",Drama,2005.0
33830,Herbie: Fully Loaded (2005),Adventure|Comedy|Romance,2005.0
33834,Land of the Dead (2005),Action|Horror|Thriller,2005.0
33836,Bewitched (2005),Comedy|Fantasy|Romance,2005.0
33838,Rize (2005),Documentary,2005.0
33880,Me and You and Everyone We Know (2005),Comedy|Drama,2005.0
33930,Man with the Screaming Brain (2005),Adventure|Comedy|Sci-Fi,2005.0
34048,War of the Worlds (2005),Action|Adventure|Sci-Fi|Thriller,2005.0
34072,"March of the Penguins (Marche de l'empereur, La) (2005)",Documentary,2005.0
34111,"God Who Wasn't There, The (2005)",Documentary,2005.0
34129,Rebound (2005),Comedy,2005.0
34143,Dark Water (2005),Drama|Horror|Thriller,2005.0
34148,"Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)",Drama,2005.0
34150,Fantastic Four (2005),Action|Adventure|Sci-Fi,2005.0
34153,Murderball (2005),Documentary,2005.0
34162,Wedding Crashers (2005),Comedy|Romance,2005.0
34164,Happy Endings (2005),Comedy|Drama,2005.0
34198,Russian Dolls (Les poupées russes) (2005),Comedy|Romance,2005.0
34240,"Karol: A Man Who Became Pope (Karol, un uomo diventato Papa) (Karol. Czlowiek, który zostal papiezem) (2005)",Drama,2005.0
34271,Hustle & Flow (2005),Crime|Drama,2005.0
34319,"Island, The (2005)",Action|Sci-Fi|Thriller,2005.0
34321,Bad News Bears (2005),Children|Comedy,2005.0
34323,"Devil's Rejects, The (2005)",Action|Crime|Horror,2005.0
34326,Last Days (2005),Drama,2005.0
34332,Sky High (2005),Action|Adventure|Children|Comedy,2005.0
34334,Stealth (2005),Action|Adventure|Sci-Fi|Thriller,2005.0
34336,Must Love Dogs (2005),Comedy|Romance,2005.0
34338,"Aristocrats, The (2005)",Comedy|Documentary,2005.0
34405,Serenity (2005),Action|Adventure|Sci-Fi,2005.0
34437,Broken Flowers (2005),Comedy|Drama,2005.0
34511,Man-Thing (2005),Action|Horror|Sci-Fi,2005.0
34520,"Dukes of Hazzard, The (2005)",Action|Adventure|Comedy,2005.0
34523,The Chumscrubber (2005),Comedy|Drama,2005.0
34528,Junebug (2005),Comedy|Drama,2005.0
34530,Deuce Bigalow: European Gigolo (2005),Comedy,2005.0
34532,"Skeleton Key, The (2005)",Drama|Horror|Mystery|Thriller,2005.0
34534,Four Brothers (2005),Action|Crime|Drama,2005.0
34536,The Great Raid (2005),Action|Drama|War,2005.0
34538,Asylum (2005),Romance|Thriller,2005.0
34540,Pretty Persuasion (2005),Comedy|Drama,2005.0
34542,Grizzly Man (2005),Documentary,2005.0
34552,"Girl in the Café, The (2005)",Drama|Romance,2005.0
35015,Duma (2005),Adventure|Drama,2005.0
35681,Koti-ikävä (2005),Drama,2005.0
35828,Black (2005),Drama,2005.0
35836,"40-Year-Old Virgin, The (2005)",Comedy|Romance,2005.0
