movieId,imdbId,tmdbId
27509,289889,4592.0
27618,318081,10077.0
27788,366627,9667.0
27821,373926,179.0
27839,377109,10320.0
27881,388973,33102.0
27904,405296,3509.0
30793,367594,118.0
30894,375210,11804.0
30896,373416,19803.0
30898,365885,11354.0
31221,357277,9947.0
31223,376105,6439.0
31225,393162,7214.0
31420,398712,8978.0
31422,368578,11637.0
31424,369226,12142.0
31427,382077,11096.0
31429,417415,22559.0
31431,357507,8968.0
31433,372532,6961.0
31685,386588,8488.0
31687,407121,13682.0
31689,418753,12228.0
31696,360486,561.0
31698,362165,10214.0
31700,317132,17880.0
31785,388318,18279.0
31867,331933,13498.0
32002,363504,51177.0
32009,422093,16186.0
32011,257516,10012.0
32017,395699,10022.0
32019,377471,4551.0
32029,340163,2026.0
32031,358082,9928.0
32172,407936,133382.0
32216,358294,24546.0
32289,396652,13374.0
32296,385307,10040.0
32298,372237,11638.0
32584,357110,17113.0
32587,401792,187.0
32589,388500,14177.0
32593,386423,23638.0
32596,318649,7364.0
32598,332047,11431.0
32605,397103,45824.0
33004,371724,7453.0
33019,405743,6183.0
33085,384806,10065.0
33132,403537,13409.0
33140,398971,35384.0
33145,391304,8976.0
33148,388183,27360.0
33150,354595,29078.0
33154,413845,13020.0
33158,329774,11679.0
33162,320661,1495.0
33164,397065,10066.0
33342,441758,41386.0
33421,342272,10913.0
33437,342258,10027.0
33493,121766,1895.0
33495,384642,9981.0
33499,369735,4379.0
33615,351283,953.0
33639,438205,14358.0
33644,449086,12700.0
33646,398165,9291.0
33660,352248,921.0
33669,403508,9779.0
33672,355702,9787.0
33677,436727,23825.0
33679,356910,787.0
33681,424774,14199.0
33685,373908,21295.0
33688,437407,20651.0
33794,372784,272.0
33815,380623,15648.0
33821,405861,10274.0
33830,400497,11451.0
33834,418819,11683.0
33836,374536,9722.0
33838,436724,2287.0
33880,415978,1382.0
33930,365478,2151.0
34048,407304,74.0
34072,428803,1667.0
34111,455507,13014.0
34129,376108,7233.0
34143,382628,9009.0
34148,411270,1553.0
34150,120667,9738.0
34153,436613,14278.0
34162,396269,9522.0
34164,361693,14922.0
34198,409184,1826.0
34240,435100,38516.0
34271,410097,10476.0
34319,399201,1635.0
34321,408524,13341.0
34323,395584,1696.0
34326,403217,1665.0
34332,405325,11459.0
34334,382992,10048.0
34336,417001,11648.0
34338,436078,15258.0
34405,379786,16320.0
34437,412019,308.0
34511,290747,18882.0
34520,377818,6519.0
34523,406650,13919.0
34528,418773,1444.0
34530,367652,11453.0
34532,397101,9913.0
34534,430105,8292.0
34536,326905,13922.0
34538,348505,24461.0
34540,381505,14166.0
34542,427312,501.0
34552,443518,28201.0
35015,361715,15907.0
35681,472536,306323.0
35828,375611,31977.0
35836,405422,6957.0
35957,421239,11460.0
36276,387898,445.0
36392,403016,17186.0
36397,361089,14175.0
36401,355295,4442.0
36477,401244,13169.0
36509,402901,9042.0
36511,434424,17926.0
36513,407732,15022.0
36517,387131,1985.0
36519,388482,9335.0
36523,462333,56214.0
36525,425123,9007.0
36527,377107,9777.0
36529,399295,1830.0
36531,428251,7182.0
36533,384286,10092.0
36535,404030,340.0
36537,318761,1546.0
36539,429177,23703.0
36708,385690,65215.0
36799,400063,16374.0
37240,436971,14286.0
37380,419706,8814.0
37382,421054,9923.0
37384,348333,7553.0
37386,402022,8202.0
37475,350261,1947.0
37477,399327,9074.0
37653,448267,49220.0
37720,404032,8643.0
37727,408790,9315.0
37729,121164,3933.0
37731,385002,8923.0
37733,399146,59.0
37736,380599,257.0
37739,388980,15487.0
37741,379725,398.0
37837,428430,349.0
37844,403455,14544.0
37846,339642,20668.0
37853,378109,11968.0
37855,406158,27176.0
37857,366780,14517.0
37957,445161,31227.0
38001,397530,10087.0
38038,312004,533.0
38046,429078,10703.0
38061,373469,5236.0
38095,456912,11344.0
38188,454792,14788.0
38294,402057,5471.0
38304,367555,19082.0
38388,380389,9763.0
38435,395543,30082.0
38600,417658,10475.0
38701,377800,3527.0
38798,388125,11931.0
38824,343221,32990.0
38886,367089,10707.0
38992,417217,9910.0
38994,369053,38583.0
39052,472566,15493.0
39183,388795,142.0
39231,368709,9621.0
39234,395972,9701.0
39292,433383,3291.0
39307,418647,12920.0
39381,421238,16608.0
39390,451069,25517.0
39400,432291,791.0
39402,406038,19965.0
39408,443567,38828.0
39410,436686,33241.0
39412,419922,53935.0
39414,338427,2610.0
39416,408961,21246.0
39419,373450,9729.0
39425,447016,191599.0
39427,371257,8066.0
39429,391877,18428.0
39435,386140,1656.0
39441,436629,41566.0
39444,384680,6963.0
39446,432348,215.0
39449,387514,2313.0
39703,382810,9993.0
39715,436058,8274.0
39796,402158,10799.0
39801,425661,42000.0
39857,403360,14897.0
39869,342735,1951.0
39886,420015,16022.0
40148,365686,10851.0
40278,418763,25.0
40339,371606,9982.0
40342,368222,13994.0
40414,424205,11661.0
40574,430308,10060.0
40581,433400,10033.0
40583,365737,231.0
40614,398017,8999.0
40629,414387,4348.0
40679,337656,47540.0
40681,389957,10064.0
40723,416315,9885.0
40732,435625,9392.0
40752,478044,20347.0
40815,330373,674.0
40819,358273,69.0
40826,294870,1833.0
40851,406375,6795.0
40870,401085,11421.0
40887,385056,7301.0
40946,422528,16156.0
40952,387059,24618.0
40955,411195,1420.0
40959,400525,9005.0
40962,443295,13499.0
40964,426615,17952.0
40969,455475,20436.0
41285,416320,116.0
41425,384929,41189.0
41434,436039,19215.0
41527,445620,67.0
41564,416891,64972.0
41566,363771,411.0
41569,360717,254.0
41571,397535,1904.0
41573,356680,9043.0
41575,417976,2008.0
41617,285175,14695.0
41716,365485,9515.0
41721,382806,16151.0
41724,473107,29595.0
41736,417395,9721.0
41769,392465,23478.0
41863,419294,8053.0
41941,420509,13653.0
41997,408306,612.0
42002,395251,9899.0
42004,407265,546.0
42007,398375,2800.0
42009,452598,9641.0
42011,369441,7552.0
42013,267891,9927.0
42015,402894,9681.0
42018,413015,10773.0
42021,384686,18840.0
42053,327643,18189.0
42197,444653,9687.0
42208,451850,33081.0
42418,402399,11400.0
42602,444608,38785.0
42632,451094,4550.0
42721,383222,168705.0
42723,450278,1690.0
42725,456554,9900.0
42728,375154,9044.0
42730,385726,9918.0
42732,408985,17379.0
42734,443536,10982.0
42738,401855,834.0
42740,433116,25890.0
42935,437447,14226.0
42958,412922,16553.0
42987,423651,15594.0
43260,448172,7295.0
43267,462570,78237.0
43333,240200,7509.0
43376,426578,2117.0
43391,390245,29040.0
43396,412080,9912.0
43419,416496,1969.0
43460,423409,8435.0
43556,417433,13275.0
43558,421729,11565.0
43560,396752,11283.0
43589,411267,17.0
43652,451021,16452.0
43679,414982,9286.0
43684,437777,15363.0
43708,425598,292.0
43744,421994,1544.0
43828,325191,61559.0
43832,478988,20981.0
43836,383216,12096.0
43853,429715,5145.0
43869,381971,9975.0
43871,408345,9754.0
43904,455857,10053.0
43906,401815,10263.0
43908,449061,7515.0
43910,473692,15675.0
43912,349467,9959.0
43914,380817,14256.0
43917,397313,9036.0
43919,466342,10073.0
43921,404390,7304.0
43923,455612,16781.0
43926,763304,24432.0
43928,370032,9920.0
43930,397078,10025.0
43932,454919,9682.0
43934,424942,17700.0
43936,450232,2207.0
43983,434008,18747.0
43987,412798,9756.0
44004,427229,6877.0
44020,491703,14609.0
44022,438097,950.0
44058,402850,9968.0
44115,475723,10116.0
44161,441761,7483.0
44187,477072,15590.0
44189,384814,1967.0
44191,434409,752.0
44193,454945,9655.0
44195,427944,9388.0
44197,419749,9950.0
44199,454848,388.0
44204,468565,868.0
44225,429591,14191.0
44301,458242,1379.0
44397,454841,9792.0
44399,393735,10067.0
44511,436864,35555.0
44555,405094,582.0
44613,446046,12763.0
44633,436231,13222.0
44663,429727,31289.0
44665,425210,186.0
44671,443693,8410.0
44694,441909,219.0
44709,437800,13751.0
44724,451957,10292.0
44729,462395,15639.0
44731,441796,10069.0
44759,430912,3093.0
44761,393109,9270.0
44777,383353,10177.0
44779,393685,12591.0
44782,402249,18045.0
44788,493459,16070.0
44800,422272,11348.0
44815,466856,13960.0
44828,439815,9035.0
44840,437863,9957.0
44844,490196,30139.0
44849,386741,9389.0
44864,436331,8998.0
44889,404364,20521.0
44900,471957,53296.0
44929,424880,4441.0
44937,456396,11490.0
44949,453494,18276.0
44972,362120,4257.0
44974,424136,2652.0
45028,420087,9526.0
45030,404163,19126.0
45062,443632,5820.0
45072,445396,41338.0
45074,405469,9904.0
45079,463345,50724.0
45081,384537,588.0
45100,387055,17247.0
45106,465142,9310.0
45137,448564,18858.0
45175,434124,16367.0
45183,427954,8982.0
45186,317919,956.0
45188,445760,36253.0
45208,449089,9530.0
45210,475276,9829.0
45221,430634,10115.0
45259,464105,5717.0
45361,429573,10008.0
45382,398027,7870.0
45431,327084,7518.0
45440,364955,9786.0
45442,409182,503.0
45447,382625,591.0
45499,376994,36668.0
45501,452594,9767.0
45503,438315,13689.0
45506,417385,18164.0
45508,419256,15013.0
45512,415949,21014.0
45517,317219,920.0
45521,413466,18484.0
45525,343996,9700.0
45527,360016,14167.0
45531,427038,12261.0
45581,456658,101908.0
45635,404802,15402.0
45639,435696,26116.0
45648,425055,80919.0
45652,416471,15366.0
45656,409034,53905.0
45658,410400,38344.0
45662,466909,806.0
45664,396688,20021.0
45666,457510,9353.0
45668,410297,2044.0
45672,389860,9339.0
45720,458352,350.0
45722,383574,58.0
45726,463034,1819.0
45728,424345,2295.0
45730,452637,9697.0
45732,465624,4474.0
45852,437179,10007.0
45880,422720,1887.0
45928,489037,13508.0
45950,497116,1781.0
45981,469916,8997.0
45994,398839,18404.0
46062,475293,10947.0
46083,446685,34787.0
46098,459242,29138.0
46105,428649,17628.0
46108,456899,8443.0
46154,414344,26567.0
46156,422015,34186.0
46194,372122,17021.0
46201,216584,22747.0
46231,426627,17741.0
46322,446059,7549.0
46335,463985,9615.0
46337,455499,9513.0
46347,478209,20604.0
46363,477877,410.0
46430,456020,9917.0
46478,383518,8008.0
46530,348150,1452.0
46559,468094,7872.0
46561,478197,57406.0
46572,443496,18191.0
46574,422861,14474.0
46578,449059,773.0
46581,432260,16429.0
46588,489707,19999.0
46634,439008,19676.0
46723,449467,1164.0
46762,430674,9520.0
46770,432637,32740.0
46772,369994,13141.0
46808,492912,31463.0
46839,459666,11554.0
46850,492506,35199.0
46865,430304,9072.0
46915,415778,9727.0
46919,399862,14120.0
46948,385880,9297.0
46952,408120,26826.0
